Rank	Card Name	PWR	ADP	APR	Deals	Drafted	Plays	W-Hand	W-Play	WtdPWR	Elo/Play
1	Craft Brewery	14.29	1.50	5.17	6	6	6	6	6	8.57	14.88
2	Teacher's Desk	10.20	1.57	5.14	7	7	7	5	5	6.94	8.67
3	Tree Guard	8.93	1.25	6.00	8	8	8	5	5	6.25	3.26
4	Hayloft Barn	8.93	1.38	8.50	8	8	8	5	5	6.25	4.68
5	Muddy Waters	8.57	3.75	8.80	20	16	15	13	12	5.50	9.26
6	Wooden Hut Extender	7.48	1.65	4.95	21	20	20	11	11	5.65	2.88
7	Rammed Clay	7.39	1.93	5.31	29	29	29	15	15	5.81	4.79
8	Job Contract	7.14	1.36	1.10	22	22	21	11	11	5.32	3.33
9	Guest Room	7.14	1.67	5.67	4	3	3	2	2	5.36	7.39
10	Chapel	7.14	1.75	10.25	4	4	4	2	2	5.71	2.07
11	Melon Patch	7.14	2.94	7.29	16	16	14	9	8	5.18	3.38
12	Special Food	7.14	3.32	7.50	20	19	16	12	10	5.29	8.28
13	Artichoke Field	7.14	3.84	8.11	20	19	18	11	10	5.29	5.52
14	Pet Lover	6.96	1.79	3.68	39	38	38	19	19	5.90	6.00
15	Flail	6.80	3.65	6.93	21	17	14	10	10	4.49	7.65
16	Carpenter's Parlor	6.77	1.16	3.91	38	38	33	20	18	5.38	5.51
17	Caravan	6.59	1.46	5.83	13	13	12	7	6	5.49	9.08
18	Braggart	6.49	1.32	13.80	22	22	20	10	10	5.19	3.31
19	Wholesaler	6.45	2.94	10.36	31	31	28	16	14	5.35	6.64
20	Seasonal Worker	6.43	2.03	5.00	40	37	32	20	18	4.79	6.70
21	Shaving Horse	6.35	1.33	2.11	9	9	9	4	4	4.60	-1.21
22	Craft Teacher	6.35	1.71	2.29	9	7	7	4	4	4.60	3.55
23	Fatstock Stretcher	6.35	2.31	5.43	18	16	14	9	8	5.08	6.26
24	Swing Plow	6.30	1.62	10.00	34	34	31	15	15	5.38	4.49
25	Paper Knife	6.25	4.19	6.47	16	16	15	7	7	5.71	7.17
26	Water Worker	6.12	2.04	2.91	28	28	23	13	12	4.64	1.81
27	Family Friendly Home	6.12	2.82	4.14	14	11	7	7	6	3.78	10.54
28	Brewing Water	5.84	4.56	5.80	22	18	15	11	9	4.29	5.23
29	Young Farmer	5.82	2.52	4.71	27	25	21	12	11	4.66	4.03
30	Wood Field	5.82	4.62	8.95	27	24	22	11	11	4.60	1.26
31	Forest Reviewer	5.71	1.61	1.53	20	18	15	11	8	4.50	2.11
32	Recreational Carpenter	5.71	2.10	4.33	30	29	24	13	12	4.76	4.37
33	Hewer	5.71	2.27	3.18	25	22	17	13	10	4.17	4.62
34	Wheel Plow	5.71	2.47	9.08	15	15	12	7	6	4.38	1.16
35	Furnisher	5.71	2.57	4.32	35	35	25	16	14	4.45	5.54
36	Crudite	5.71	2.75	8.94	20	20	16	9	8	4.71	4.35
37	Chick Stable	5.71	3.79	5.18	15	14	11	7	6	4.67	6.36
38	Lynchet	5.71	4.27	6.80	15	15	15	6	6	5.81	4.96
39	Field Fences	5.61	3.29	11.67	28	28	21	15	11	4.39	6.35
40	Sheep Provider	5.59	3.04	5.64	23	23	14	10	9	3.79	5.49
41	Value Assets	5.56	4.06	5.71	18	16	14	7	7	4.05	0.51
42	Assistant Tiller	5.52	1.50	4.17	44	44	41	18	17	5.06	5.38
43	Dolly's Mother	5.49	1.75	7.09	13	12	11	5	5	5.27	6.01
44	Turnwrest Plow	5.46	2.71	8.87	34	34	31	14	13	4.87	1.98
45	Reap Hook	5.44	2.40	5.37	21	20	19	9	8	4.56	1.91
46	Nest Site	5.44	2.82	4.55	21	17	11	8	8	3.61	7.10
47	Cultivator	5.42	2.57	5.83	29	28	24	12	11	4.48	3.09
48	Pulverizer Plow	5.36	2.88	7.12	8	8	8	3	3	4.82	-1.32
49	Mining Hammer	5.36	3.43	6.59	32	28	27	12	12	4.33	-0.13
50	Grain Depot	5.36	3.79	4.75	16	14	12	7	6	4.29	4.24
51	Begging Student	5.19	1.27	2.70	11	11	10	4	4	4.42	1.69
52	Reed-Hatted Toad	5.19	2.20	1.28	22	20	18	9	8	4.55	1.85
53	Cow Prince	5.19	3.40	13.53	33	30	17	20	12	3.68	6.56
54	Trellis	5.14	2.71	8.23	25	24	22	10	9	4.63	0.19
55	Garden Designer	5.10	1.86	13.56	14	14	9	7	5	3.88	6.40
56	Basket Carrier	5.10	2.67	5.14	28	27	21	12	10	4.23	2.55
57	Forest Scientist	5.10	3.50	3.11	14	12	9	5	5	3.88	6.30
58	Brewery Pond	5.04	1.18	4.65	17	17	17	6	6	4.96	2.14
59	Forest Plow	5.04	2.88	6.20	17	16	15	7	6	4.62	2.22
60	Shepherd's Whistle	5.04	3.21	7.30	17	14	10	8	6	3.70	4.11
61	Writing Boards	5.04	4.00	10.50	17	14	10	9	6	3.53	5.25
62	Childless	4.98	3.24	3.32	43	34	25	20	15	3.65	4.84
63	Bookshelf	4.95	3.30	8.47	26	23	19	10	9	4.18	4.39
64	Clay Supply	4.89	3.03	4.86	38	38	29	18	13	4.21	2.48
65	Collier	4.76	1.44	1.88	27	27	26	9	9	5.03	1.58
66	Trap Builder	4.76	1.78	3.00	27	23	18	10	9	3.86	4.34
67	Private Teacher	4.76	2.29	2.78	21	21	18	7	7	3.88	-1.58
68	Scales	4.76	2.46	1.45	27	24	20	12	9	3.97	1.48
69	Mattock	4.76	2.58	5.73	12	12	11	5	4	4.17	-2.33
70	Throwing Axe	4.76	2.69	8.67	18	16	15	7	6	4.52	2.11
71	Hand Truck	4.76	2.85	6.18	15	13	11	5	5	4.00	0.84
72	Wood Carrier	4.76	2.86	12.06	30	28	17	11	10	3.48	4.62
73	Harvest House	4.76	2.95	9.06	24	20	17	8	8	3.99	3.73
74	Pioneer	4.76	3.29	3.44	21	21	16	7	7	4.15	1.12
75	Land Heir	4.76	3.31	3.14	30	26	21	10	10	3.86	4.39
76	Plow Hero	4.76	3.45	9.76	27	22	17	10	9	4.02	5.87
77	Field Caretaker	4.76	3.50	8.68	36	34	22	15	12	3.81	4.74
78	Beer Tap	4.76	4.20	6.10	27	25	20	11	9	3.97	0.87
79	Beanfield	4.76	4.39	9.79	33	28	24	12	11	3.51	-1.52
80	Food Chest	4.76	4.90	6.40	24	21	15	8	8	3.51	3.36
81	Reed Pond	4.59	3.44	9.20	28	25	20	10	9	3.72	0.63
82	Stallwright	4.59	3.55	3.69	28	20	16	12	9	3.32	5.88
83	Full Farmer	4.57	4.00	10.25	25	22	12	11	8	3.20	4.79
84	Waterlily Pond	4.57	4.16	6.15	25	19	13	11	8	3.60	8.18
85	Hauberg	4.55	3.47	8.79	22	19	14	7	7	3.57	4.55
86	Maintenance Premium	4.55	3.94	6.53	22	18	17	7	7	4.03	2.83
87	Bonehead	4.51	3.18	3.80	38	38	30	16	12	4.14	2.74
88	Studio	4.51	4.31	8.20	19	16	10	8	6	3.46	6.15
89	Mole Plow	4.46	2.69	9.92	16	13	12	6	5	4.02	1.26
90	Tumbrel	4.46	3.00	5.67	16	14	12	7	5	4.20	1.50
91	Milk Jug	4.46	3.19	9.96	32	27	24	11	10	4.02	1.53
92	Sleight of Hand	4.46	5.21	9.29	16	14	7	7	5	3.21	13.87
93	Mini Pasture	4.44	3.51	9.16	45	43	38	15	14	4.32	0.58
94	Wood Barterer	4.43	1.36	3.58	29	28	26	10	9	4.09	-0.98
95	Oriental Fireplace	4.40	2.73	8.33	13	11	9	4	4	3.41	4.84
96	Chain Float	4.35	2.14	2.69	23	21	16	8	7	3.91	4.51
97	Canoe	4.32	2.33	5.23	43	39	35	14	13	3.99	0.91
98	Carpenter's Bench	4.29	1.60	5.20	10	10	10	3	3	5.29	3.37
99	Recruitment	4.29	1.60	4.38	10	10	8	4	3	4.43	2.83
100	Beer Table	4.29	1.83	5.08	20	18	13	6	6	3.64	2.06
101	Fruit Ladder	4.29	2.94	2.53	20	17	15	6	6	3.64	0.44
102	Stone Cart	4.29	3.12	6.05	30	26	20	9	9	3.48	1.67
103	Bee Statue	4.29	3.13	7.27	20	15	11	7	6	3.36	5.01
104	Layabout	4.29	3.64	8.30	30	25	20	10	9	3.76	2.68
105	Loam Pit	4.25	2.24	8.00	37	34	26	12	11	3.98	5.50
106	Animal Husbandry Worker	4.23	2.93	6.18	27	27	22	9	8	4.13	2.17
107	Stockyard	4.20	3.71	10.54	17	17	13	6	5	4.03	6.80
108	Brushwood Collector	4.18	1.67	4.18	41	39	33	14	12	3.73	0.10
109	Hutch	4.15	3.43	6.62	31	28	21	10	9	3.50	2.16
110	Excavator	4.08	1.79	3.10	35	33	30	10	10	3.92	1.06
111	Stew	4.08	2.15	4.67	14	13	9	6	4	3.78	5.55
112	Vegetable Vendor	4.08	2.65	4.80	28	26	15	12	8	3.32	5.30
113	Cottager	4.08	2.77	4.17	42	39	29	15	12	3.57	2.01
114	Charcoal Burner	4.08	2.78	2.88	42	37	26	14	12	3.61	5.70
115	Carriage Trip	4.08	3.67	10.50	7	6	6	2	2	4.08	1.76
116	Roof Ladder	4.08	3.86	7.94	21	21	18	7	6	3.95	-1.16
117	House Steward	4.08	4.00	6.38	42	35	26	14	12	3.40	2.40
118	Bucksaw	4.08	4.56	7.87	21	18	15	6	6	3.61	1.79
119	Drill Harrow	4.08	5.20	7.62	14	10	8	4	4	2.86	-1.04
120	Baseboards	4.08	5.25	8.62	14	12	8	6	4	3.47	7.78
121	Fish Farmer	4.02	2.38	2.24	32	32	25	11	9	4.02	0.51
122	Bookcase	4.00	1.36	4.44	25	25	25	7	7	4.80	0.18
123	Beer Stall	4.00	2.09	5.59	25	22	17	10	7	3.66	2.52
124	Feed Fence	4.00	2.80	6.40	25	20	20	7	7	4.40	3.22
125	Steam Machine	4.00	3.95	9.31	25	22	13	8	7	3.20	3.82
126	Pavior	3.97	2.13	2.75	18	15	12	5	5	3.25	2.26
127	Comb and Cutter	3.97	2.79	3.33	18	14	12	5	5	3.73	2.72
128	Straw Hat	3.97	2.81	2.27	18	16	15	6	5	4.13	0.39
129	Rocky Terrain	3.97	3.81	6.42	18	16	12	6	5	3.41	0.46
130	Social Benefits	3.97	4.60	4.14	18	10	7	6	5	2.86	8.40
131	Cottar	3.94	3.00	2.84	29	27	19	10	8	3.79	3.03
132	Carpenter's Hammer	3.90	1.36	4.91	11	11	11	3	3	3.64	-4.28
133	Writing Chamber	3.90	2.55	12.00	11	11	6	5	3	2.99	3.04
134	Ox Goad	3.90	2.70	10.13	22	20	15	7	6	3.70	3.06
135	Fir Cutter	3.90	2.79	7.06	33	29	16	16	9	2.99	5.94
136	Excursion to the Quarry	3.90	3.44	10.00	11	9	7	3	3	3.38	0.11
137	Clay Supports	3.85	1.72	6.10	26	25	21	7	7	3.96	1.22
138	Agrarian Fences	3.85	3.43	7.95	26	23	22	7	7	4.34	1.52
139	Wooden Whey Bucket	3.81	1.64	6.23	15	14	13	4	4	3.90	-1.40
140	Barrow Pusher	3.81	3.03	5.38	30	29	26	8	8	3.81	-1.32
141	Wood Collector	3.81	3.72	5.42	45	40	26	17	12	3.24	2.87
142	Plow Maker	3.78	2.77	9.19	34	30	27	10	9	3.78	1.22
143	Trident	3.78	4.24	10.11	34	29	27	9	9	4.03	1.53
144	Raised Bed	3.73	3.57	10.75	23	21	12	9	6	2.98	1.80
145	Royal Wood	3.57	2.14	3.50	8	7	6	2	2	3.57	-1.05
146	Grocer	3.57	2.21	8.50	40	38	34	12	10	4.00	-0.25
147	Work Certificate	3.57	2.25	7.00	4	4	2	1	1	2.50	-2.56
148	Blueprint	3.57	2.27	6.24	28	26	21	9	7	3.88	1.61
149	Brook	3.57	2.32	4.52	28	28	21	7	7	3.57	0.37
150	Briar Hedge	3.57	3.06	12.31	20	18	13	6	5	3.29	0.51
151	Animal Tamer	3.57	3.46	9.46	44	41	26	14	11	3.28	5.76
152	Forest Stone	3.57	3.64	8.44	16	14	9	5	4	3.12	0.66
153	Vegetable Slicer	3.57	3.90	6.57	16	10	7	5	4	2.59	6.71
154	Sleeping Corner	3.57	3.94	11.22	40	36	18	17	10	2.57	3.70
155	Claypipe	3.57	4.04	6.74	28	24	19	8	7	3.37	0.47
156	Threshing Board	3.57	4.15	10.00	28	20	14	7	7	3.01	3.40
157	Cross-Cut Wood	3.57	4.18	11.25	12	11	4	4	3	2.26	17.92
158	Lawn Fertilzer	3.57	4.21	6.08	20	14	12	5	5	3.36	4.86
159	Crop Rotation Field	3.57	4.22	7.41	20	18	17	5	5	4.29	1.82
160	Constable	3.57	4.27	6.78	32	26	18	9	8	2.95	2.14
161	Farm Store	3.57	4.29	8.42	28	24	19	8	7	3.47	2.58
162	Scythe	3.57	4.35	8.00	20	17	13	6	5	3.14	-1.16
163	Nail Basket	3.57	4.67	10.29	16	15	7	4	4	2.59	3.37
164	Potato Ridger	3.57	4.69	9.86	20	13	7	8	5	2.29	11.46
165	Shepherd's Crook	3.57	4.78	8.57	28	18	14	8	7	2.70	2.18
166	Bale of Straw	3.57	5.33	7.70	20	12	10	5	5	2.93	4.28
167	Harpooner	3.50	1.82	4.08	49	45	40	15	12	3.73	-0.38
168	Stone Tongs	3.46	3.52	8.17	33	27	18	10	8	2.94	6.58
